ID,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment,age,gender,area
SBZ0181,2.8,3.1,2.2,2.6,3.2,2.5,3.9,1.7,2.3,1.2,2.1,20,0,Tohoku
SBZ0182,3.1,2.9,3.1,2.9,3,3,3,3,3,1.1,3,40,1,Kanto
SBZ0183,3.3,3.6,1.7,2.6,2.5,3.1,3.7,1.6,2.9,1.2,1.3,30,1,Kanto
SBZ0184,3.8,3.5,2.5,3.1,2.5,2.6,2.4,1.7,2.2,1.1,1.5,50,1,Shinetsu
SBZ0185,3.3,4.2,2.4,2.3,2.7,2.4,3.8,2,3,1,1,30,1,Kanto
SBZ0186,3.7,4.6,1.4,2.3,2.9,2.2,3.7,1.7,1.3,1,1,40,1,Tohoku
SBZ0187,3.2,3.8,3.2,3,2.4,3.5,4,2.4,3,1.1,1.6,20,1,Kanto
SBZ0188,3.6,3.7,1.9,2.8,2.9,2.8,4.2,1.4,2.4,1.1,2.2,40,1,Kyushu
SBZ0189,3.9,3.7,2,3.4,3.4,2.6,2.9,1.6,2.1,1.1,2.6,40,1,Chugoku
SBZ0190,3,3.1,3.1,2.8,3.1,2.9,4.6,2.2,3,1,1.4,20,0,Kanto
SBZ0191,3.3,3.2,2.7,2.9,3.3,3,2.4,3.3,2.8,2.5,2.8,50,1,Kanto
SBZ0192,3.6,3.3,1.9,3.6,2.8,1.9,3.6,1.6,1.7,1.3,3,60,0,Hokuriku
SBZ0193,3.5,3.4,1.9,3.5,2.9,1.9,3.4,1.3,1.4,1.2,1.9,40,0,Hokuriku
SBZ0194,3.6,3.3,1.8,3.8,3,1.7,1.7,1.2,1.2,1.3,1.9,40,0,Hokuriku
SBZ0195,3,2.3,3.1,3,3.5,3.3,2.8,2.2,3.7,1.3,2.5,40,1,Tokai
